title,subtitle,type,event_start,event_end,description
French Conquest of Algeria,War of Conquest,war,1830,1847,The primary violence is one country trying to take over another.
Mughal-Maratha Wars,War of Conquest,war,1681,1707,The primary violence is one country trying to take over another.
Italo Ethiopian War,War of Conquest,war,1935,1936,The primary violence is one country trying to take over another.
Napoleanic Wars,World Conquest,war,1803,1815,The primary violence is one country trying to take over another.
Shaka's Wars,World Conquest,war,1818,1828,The primary violence is one country trying to take over another.
Great Turkish Wars,Clash of Cultures,war,1683,1699,The primary violence is one country trying to take over another.
Russo-Turkish War,Clash of Cultures,war,1877,1878,The primary violence is one country trying to take over another.
Algerian War of Independence,Colonial Revolt,war,1954,1962,The people of a distant region tried to throw off their alien overlords. 
French Revolution,Colonial Revolt,war,1789,1799,The people of a distant region tried to throw off their alien overlords. 
War of the Spanish Sucession,Dynastic Dispute,war,1701,1714,The people of a distant region tried to throw off their alien overlords. 
American Revolution,Colonial Revolt,war,1765,1783,The people of a distant region tried to throw off their alien overlords. 
Albania,Hoxha,regime,1944,1985,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Yugoslavia,Tito,regime,1945,1980,"Foreign Instillation; Radical ideology implemented; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Russia,Stalin,regime,1923,1953,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Russia,Stalin,regime,1923,1953,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Afghanistan,Taraki,regime,1978,1979,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
China,Mao Tse-Tung,regime,1949,1976,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Myanmar,Saw Maung,regime,1988,1992,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Cambodia,Pol Pot,regime,1975,1979,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Ethiopia,Mengistu Marriam,regime,1977,1991,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Iran,Ayatollah Khomeini,regime,1979,1989,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Myanmar,Ne Win,regime,1962,1988,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Laos,Phomivan,regime,1975,1992,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Libya,Qaddafi,regime,1969,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Cuba,Castro,regime,1959,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Nicaragua,Daniel Ortega,regime,1979,1990,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Costa Rica,Leon Herrera,regime,1948,1949,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Costa Rica,Figueres Ferrer,regime,1953,1958,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Argentina,Peron,regime,1946,1955,"Irregular Transition;;Radical ideology implemented;Leader is a revolutionary;Major changes to a constitution, or change to leader selection process;Adopted communism or fascism as official ideology of the state;Change in property ownership rights;Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.;constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Poland,Walesa,regime,1990,1995,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Hungary,Szuros,regime,1989,1990,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Czechoslovakia,Calfa,regime,1989,1992,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Czechoslovakia,Calfa,regime,1989,1992,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Czechoslovakia,Calfa,regime,1989,1992,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Albania,Berisha,regime,1992,1997,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Yugoslavia,Milosevic,regime,1989,2000,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Bulgaria,Mladenov,regime,1989,1990,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Bulgaria,Popov,regime,1990,1991,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Russia,Yeltsin,regime,1991,1999,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Belarus,Shushkevich,regime,1991,1994,"Radical ideology implemented; Leader increased democracy and political freedom; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Benin,Kerekou,regime,1972,1991,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Congo,Ngouabi,regime,1969,1977,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Democratic Republic of Congo,Mobutu,regime,1965,1997,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Democratic Republic of Congo,Mobutu,regime,1965,1997,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Burundi,Micombero,regime,1966,1976,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Somalia,Siad Barre,regime,1969,1991,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Ethiopia,Meles Zenawi,regime,1991,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Madagascar,Ratsiraka,regime,1975,1993,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Comoros,Soilih,regime,1975,1978,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Algeria,Boumedienne,regime,1965,1978,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Sudan,Nimeiri,regime,1969,1971,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Egypt,Nasser,regime,1954,1970,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Egypt,Sadat,regime,1970,1981,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
China,Chiang Kai-shek,regime,1946,1949,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Laos,Phounsavanh,regime,1992,1998,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Panama,Torrijos Herrera,regime,1968,1981,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Greece,Papadopoulos,regime,1967,1973,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Iraq,Karrim Kassem,regime,1958,1963,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Iraq,Hassan Al-Bakr,regime,1968,1979,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Iraq,Saddam Hussein,regime,1979,2003,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
Guatemala,Castillo Armas,regime,1954,1957,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Venezuela,Hugo Chavez,regime,1999,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Spain,Franco,regime,1939,1975,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Czechoslovakia,Gottwald,regime,1948,1953,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Romania,Roman,regime,1989,1991,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Mali,Traore,regime,1968,1991,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Mauritania,Ould Haidalla,regime,1980,1984,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Guinea,Conte,regime,1984,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Uganda,Amin,regime,1971,1979,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Burundi,Bagaza,regime,1976,1987,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Burundi,Buyoya,regime,1987,1993,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Madagascar,Zafy,regime,1993,1996,"Irregular Transition; Radical ideology implemented; Leader increased democracy and political freedom; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state"
Sudan,Al-Bashir,regime,1989,2004,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Iran,Mohammad Reza,regime,1953,1979,"Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Iraq,Salem Aref,regime,1963,1966,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Egypt,Naguib,regime,1952,1954,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Syria,Al-Hafiz,regime,1963,1966,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Yemen Arab Republic,AL-Sallal,regime,1962,1967,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state"
Yemen People's Republic,Ali Rubayyi,regime,1969,1978,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Yemen People's Republic,Ismail,regime,1978,1980,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Afghanistan,Burhanuddin Rabbani,regime,1992,1996,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Pakistan,Ayub Khan,regime,1958,1969,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Pakistan,Zia,regime,1977,1988,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Bangladesh,Ziaur Rahman,regime,1977,1981,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Thailand,Plaek Pibulsongkram,regime,1946,1957,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Burkina Faso,Sankara,regime,1983,1987,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Adopted communism or fascism as official ideology of the state; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups."
El Salvador,Majano Ramos,regime,1979,1980,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
El Salvador,Duarte,regime,1980,1982,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Fiji,Rabuka,regime,1987,1999,"Irregular Transition; Radical ideology implemented; :eader is a revolutionary; Major changes to a constitution, or change to leader selection process; Implementation of major restrictions on women's dress, employment, voting rights, property ownership/ inheritance. Or changing the institutionalized status of major ethnic groups.; constitutional adoption of a single religion as the official state religion, to the detriment of other religions"
Peru,Velasco Alvarado,regime,1968,1975,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Brazil,Costa de Silva,regime,1967,1969,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process"
Bolivia,Paz Estenssoro,regime,1952,1956,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Bolivia,Siles Zuazo,regime,1956,1960,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Bolivia,Paz Estenssoro,regime,1960,1964,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Change in property ownership rights"
Bolivia,Torres,regime,1970,1971,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
Chile,Pinochet,regime,1973,1990,"Irregular Transition; Radical ideology implemented; Leader is a revolutionary; Major changes to a constitution, or change to leader selection process; Adopted communism or fascism as official ideology of the state; Change in property ownership rights"
